trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
123,False,"{'a': 0.8842636625608209, 'e': 0.2922925776808594}",30,22,-12.156337308787853,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
124,False,"{'a': 0.8833798408827509, 'e': 0.28938421793905067}",20,0,16.8960686691936,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.8824969025845955, 'e': 0.2865047968601901}",20,7,22.17835899352208,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.8816148467834161, 'e': 0.2836540264997704}",20,7,-19.216992035475492,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 1}",1
127,False,"{'a': 0.880733672597157, 'e': 0.2808316217783798}",20,0,18.762828759772514,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
128,False,"{'a': 0.8798533791446438, 'e': 0.27803730045319414}",20,4,25.482637047630583,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.8789739655455832, 'e': 0.27527078308975234}",20,13,-31.000313970580226,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
130,False,"{'a': 0.8780954309205613, 'e': 0.2725317930340126}",25,11,-57.05028651688841,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 2}",1
131,False,"{'a': 0.8772177743910435, 'e': 0.26982005638468687}",20,5,-76.5677755074698,"{0: 12, 1: 0, 2: 0, 3: 1, 4: 2}",1
132,False,"{'a': 0.8763409950793734, 'e': 0.2671353019658504}",20,10,0.32741060283968837,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
133,False,"{'a': 0.8754650921087711, 'e': 0.26447726129982396}",25,1,24.61297334272965,"{0: 23, 1: 0, 2: 1, 3: 0, 4: 0}",1
134,False,"{'a': 0.874590064603334, 'e': 0.261845668580326}",30,15,13.75222015214866,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.8737159116880344, 'e': 0.2592402606458915}",20,8,-27.361433012194613,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
136,False,"{'a': 0.8728426324887193, 'e': 0.2566607769535559}",30,16,14.402651504552892,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
137,False,"{'a': 0.8719702261321094, 'e': 0.25410695955280027}",25,11,-36.491973930733664,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 1}",1
138,False,"{'a': 0.8710986917457983, 'e': 0.2515785530597565}",30,8,13.069973396473818,"{0: 19, 1: 2, 2: 1, 3: 0, 4: 0}",1
139,False,"{'a': 0.8702280284582516, 'e': 0.2490753046316682}",25,8,-39.64726320971034,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 1}",1
140,False,"{'a': 0.8693582353988059, 'e': 0.24659696394160646}",30,8,35.1661208802667,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.8684893116976679, 'e': 0.2441432831534371}",20,14,3.7019345840463926,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
142,False,"{'a': 0.867621256485914, 'e': 0.24171401689703648}",25,10,15.056774759617603,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.866754068895489, 'e': 0.23930892224375455}",25,0,2.7633322867192076,"{0: 22, 1: 0, 2: 3, 3: 0, 4: 0}",0
144,False,"{'a': 0.865887748059205, 'e': 0.2369277586821218}",35,0,46.268471084703066,"{0: 34, 1: 1, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.8650222931107413, 'e': 0.23457028809379768}",20,0,20.414868135727588,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",1
146,False,"{'a': 0.8641577031846428, 'e': 0.23223627472975886}",30,0,13.450590150824542,"{0: 27, 1: 1, 2: 2, 3: 0, 4: 0}",0
147,False,"{'a': 0.8632939774163194, 'e': 0.22992548518672387}",20,0,25.50762090867106,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.8624311149420455, 'e': 0.22763768838381276}",20,11,-25.060270200921806,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 1}",1
149,False,"{'a': 0.8615691148989583, 'e': 0.22537265553943875}",30,15,-13.091684267212058,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
150,False,"{'a': 0.8607079764250578, 'e': 0.22313016014842985}",20,0,26.92471448261519,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.8598476986592055, 'e': 0.22090997795937822}",20,4,13.326358685835737,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
152,False,"{'a': 0.8589882807411235, 'e': 0.21871188695221477}",30,15,-27.447045085571013,"{0: 11, 1: 1, 2: 2, 3: 1, 4: 0}",1
153,False,"{'a': 0.8581297218113938, 'e': 0.21653566731600707}",30,2,35.73838454567865,"{0: 27, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.8572720210114575, 'e': 0.21438110142697797}",20,13,6.246669753758886,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.8564151774836135, 'e': 0.21224797382674307}",20,16,7.078019338726606,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.8555591903710185, 'e': 0.21013607120076475}",20,5,23.33337727552739,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.8547040588176851, 'e': 0.20804518235702046}",25,14,19.4073699884908,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
158,False,"{'a': 0.8538497819684817, 'e': 0.20597509820488347}",30,13,14.834694907015145,"{0: 15, 1: 1, 2: 1, 3: 0, 4: 0}",1
159,False,"{'a': 0.8529963589691315, 'e': 0.20392561173421345}",25,16,17.003785005729732,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.8521437889662113, 'e': 0.2018965179946554}",35,0,-83.2596273678561,"{0: 28, 1: 1, 2: 2, 3: 3, 4: 1}",0
161,False,"{'a': 0.8512920711071511, 'e': 0.1998876140751445}",30,21,19.27080543609909,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.850441204540233, 'e': 0.19789869908361468}",20,11,5.27618140374844,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.8495911884145902, 'e': 0.19592957412690934}",25,8,15.870378449702812,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
164,False,"{'a': 0.8487420218802068, 'e': 0.19398004229089189}",25,11,-37.31911043924639,"{0: 10, 1: 2, 2: 1, 3: 0, 4: 1}",1
165,False,"{'a': 0.8478937040879159, 'e': 0.1920499086207541}",20,14,12.049567927875042,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.8470462341893996, 'e': 0.19013898010152053}",20,2,13.464907117569549,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.8461996113371882, 'e': 0.1882470656387468}",25,0,25.1167923378343,"{0: 23, 1: 2, 2: 0, 3: 0, 4: 0}",0
168,False,"{'a': 0.8453538346846587, 'e': 0.18637397603941}",20,12,7.608275377997439,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.8445089033860343, 'e': 0.1845195239929893}",20,1,19.99183425160023,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 0}",1
170,False,"{'a': 0.8436648165963837, 'e': 0.18268352405273466}",30,17,10.666322669558102,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
171,False,"{'a': 0.8428215734716199, 'e': 0.1808657926171221}",25,18,13.755231100812843,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
